t,x,y,psi
0.000,0.000000,0.000000,0.489010272
0.100,0.745843,0.394141,0.489010272
0.200,1.491687,0.788383,0.489114977
0.300,2.237530,1.182524,0.489010434
0.400,2.983374,1.576665,0.489010529
0.500,3.729217,1.970806,0.489010607
0.600,4.475060,2.364947,0.489010697
0.700,4.686990,2.476973,0.489125598
0.800,5.361960,2.847388,0.504730521
0.900,6.037017,3.217902,0.504790606
1.000,6.711988,3.588317,0.504730669
1.100,7.325903,4.092882,0.690417266
1.200,7.939818,4.597347,0.690320106
1.300,8.553733,5.101811,0.690320202
1.400,9.083083,5.722506,0.867117391
1.500,9.612433,6.343101,0.867037774
1.600,10.141696,6.963796,0.867197947
1.700,10.573650,7.689808,1.036812817
1.800,11.005518,8.415821,1.036900701
1.900,11.437385,9.141934,1.036961492
2.000,11.749294,9.927413,1.196003914
2.100,12.061117,10.712893,1.196098999
2.200,12.373026,11.498472,1.196047894
2.300,12.564891,12.343518,1.351374173
2.400,12.756755,13.188564,1.351374221
2.500,12.948620,14.033610,1.351374245
2.600,13.011484,14.904585,1.503302063
2.700,13.074348,15.775560,1.503302087
2.800,13.137212,16.646435,1.503293793
2.900,13.069181,17.516910,1.654094333
3.000,13.001150,18.387284,1.654103300
3.100,12.933033,19.257658,1.654202118
3.200,12.736174,20.101203,1.806082860
3.300,12.539315,20.944747,1.806082837
3.400,12.342369,21.788191,1.806206437
3.500,12.026154,22.570467,1.961585082
3.600,11.709940,23.352743,1.961585017
3.700,11.393725,24.135018,1.961584970
3.800,11.191440,24.522252,2.059148883
3.900,10.781704,25.306830,2.059033248
4.000,10.371968,26.091308,2.059085683
4.100,9.962232,26.875887,2.059033115
4.200,9.552496,27.660365,2.059085556
4.300,9.142847,28.444943,2.058946497
4.400,8.733111,29.229522,2.059032914
